,listing_id,description,host_id,neighbourhood_full,coordinates,room_type,price,number_of_reviews,reviews_per_month,availability_365,rating,number_of_stays,listing_added
0,13740704,"Cozy,budget friendly, cable inc, private entrance!",20583125.0,"Brooklyn, Flatlands","(40.63222, -73.93398)",Private Room,45$,10,0.7,85,4.100953568650489,12.0,2018-06-08
1,22005115,Two floor apartment near Central Park,82746113.0,"Manhattan, Upper West Side","(40.78761, -73.96862)",Entire place,135$,1,1.0,145,3.36759984148828,1.2,2018-12-25
2,6425850,"Spacious, charming studio",32715865.0,"Manhattan, Upper West Side","(40.79169, -73.97498)",Entire place,86$,5,0.13,0,4.76320299429773,6.0,2017-03-20
3,22986519,Bedroom on the lively Lower East Side,154262349.0,"Manhattan, Lower East Side","(40.71884, -73.98354)",Private Room,160$,23,2.29,102,3.8225906280422346,27.6,2020-10-23
4,271954,Beautiful brownstone apartment,1423798.0,"Manhattan, Greenwich Village","(40.73388, -73.99452)",Entire place,150$,203,2.22,300,4.478396485337809,243.6,2018-12-15
5,14218742,Luxury/3bedroom/3bthrm/Privateprkng/beach/rstrnts,78824908.0,"Brooklyn, Sheepshead Bay","(40.58531, -73.93811)",Entire place,224$,2,0.08,353,4.091228407624987,2.4,2017-12-17
6,15125599,Beautiful One Bedroom Apartment Near Central Park,3191545.0,"Manhattan, Theater District","(40.761, -73.98522)",Entire place,169$,5,0.15,365,3.5629466794544493,6.0,2016-12-20
7,24553891,Enjoy all of Manhattan. Big Apple! A Mini-MOMA!,68557372.0,"Manhattan, Harlem","(40.80667, -73.95182)",Entire place,75$,8,0.66,9,4.695768785868397,9.6,2018-10-19
8,26386759,Cozy and extremely well located Bushwick room,86892036.0,"Brooklyn, Bushwick","(40.70103, -73.91901)",Private Room,50$,5,0.41,0,3.260108207082263,6.0,2018-01-23
9,34446664,Home away from home,260038086.0,"Queens, Laurelton","(40.6688, -73.74384)",Entire place,254$,2,1.46,24,3.750804246731366,2.4,2018-11-28
10,18048473,#3 Private  Quadruple  Room  20mnts from Manhattan,42093468.0,"Bronx, Mott Haven","(40.81217, -73.91776999999998)",Private Room,41$,21,0.78,334,4.315454829613187,25.2,2018-12-15
11,21698446,Private Room In Manhattan!,32798079.0,"Manhattan, Harlem","(40.81691, -73.93735)",Private Room,98$,94,4.65,117,3.0350458522936288,112.8,2018-12-28
12,33635065,Sonder | Stock Exchange | Cozy 1BR + Laundry,219517861.0,"Manhattan, Financial District","(40.7071, -74.01194)",Entire place,230$,6,2.28,327,4.203225120946259,7.1999999999999975,2018-12-15
13,1479113,"Spacious, quiet room with private full bathroom.",176836.0,"Manhattan, Lower East Side","(40.71501, -73.98061)",Private Room,49$,90,1.29,0,3.3476103317230566,108.0,2018-06-28
14,14817574,Spacious Room in the heart of Greenwich Village!,88398053.0,"Manhattan, Greenwich Village","(40.72807, -73.99925)",Private Room,99$,5,0.15,0,4.847748651809394,6.0,2017-02-14
15,26398320,Cozy room w/ private balcony and incredible views!,45448756.0,"Manhattan, East Village","(40.72777, -73.98568)",Private Room,99$,5,0.43,11,3.4113704096850026,6.0,2018-11-14
16,6654984,Beautiful apartment in trendy Brooklyn,5417600.0,"Brooklyn, Park Slope","(40.67376, -73.98397)",Entire place,200$,4,0.14,173,3.0886514932873705,4.8,2017-12-11
17,20655740,Penthouse Studio with Queen Bed & Private Rooftop,6655660.0,"Manhattan, Lower East Side","(40.71798, -73.98418000000002)",Entire place,275$,17,0.76,171,3.6202307926139934,20.4,2018-11-16
18,21324522,Brownstone Duplex with Private Outdoor Patio!,12337318.0,"Manhattan, Harlem","(40.82296, -73.94545)",Entire place,200$,38,1.89,101,4.185764900681063,45.6,2018-12-05
19,13885982,The Bushwick Museum,11841497.0,"Brooklyn, Bushwick","(40.70112, -73.93086)",Private Room,55$,3,0.08,0,3.207637176546392,3.6,2016-01-24
20,23514583,"Luxury High Line Chelsea Doorman, Roof Deck/Gym",19043062.0,"Manhattan, Chelsea","(40.74057, -74.00263000000002)",Entire place,150$,21,1.46,5,4.969092659517816,25.2,2018-12-14
21,25328184,Bedstuy Fly!  Two Bedroom Garden Apartment.,1417893.0,"Brooklyn, Bedford-Stuyvesant","(40.68902, -73.92838)",Entire place,160$,52,3.9,37,4.418133677004285,62.4,2018-12-17
22,34365364,"Warm, Comfortable, and Joyful Loft in Brooklyn",68869481.0,"Brooklyn, Gowanus","(40.67152, -73.98991)",Entire place,180$,3,2.09,5,3.635255068275752,3.6,2018-12-18
23,19171670,Cozy private bedroom with Queen size bed & closet.,132485563.0,"Manhattan, Upper East Side","(40.77226, -73.95983000000003)",Private Room,115$,11,0.5,67,3.043068163205101,13.2,2018-04-19
24,9230738,Charming 1-bed apt w/ private deck,4031222.0,"Manhattan, Upper West Side","(40.77431, -73.97883)",Entire place,185$,14,0.38,4,3.5992649155535235,16.8,2018-10-16
25,2574386,Luxury Apt - west village/Chelsea,9090698.0,"Manhattan, Chelsea","(40.74311, -74.00718)",Entire place,275$,2,0.03,365,3.2928440403926267,2.4,2014-04-01
26,13770780,Super sunny and spacious! Privacy!,38404959.0,"Queens, Ditmars Steinway","(40.77697, -73.9082)",Private Room,60$,10,0.38,364,4.551257158824186,12.0,2018-03-24
27,22250309,Brownstone Apartment near Manhattan,62048197.0,"Brooklyn, Bedford-Stuyvesant","(40.68373, -73.93056)",Entire place,85$,2,0.14,0,3.965615954532512,2.4,2017-10-30
